epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,890.451,1.20781,0.76954,0.90108,0.82388,0.82796,0.9034,0.56036,1.28961,0.7068,0.88808,0.0011684,0.0011684,0.0011684
44,912.081,1.24478,0.75594,0.87649,0.7351,0.9115,0.90211,0.57591,1.24434,0.71246,0.88673,0.0011486,0.0011486,0.0011486
45,934.1,1.17772,0.75015,0.89278,0.8637,0.87611,0.91884,0.60532,1.15582,0.66054,0.88125,0.0011288,0.0011288,0.0011288
46,952.409,1.18061,0.7273,0.87827,0.85108,0.86726,0.91711,0.59955,1.16937,0.68181,0.88816,0.001109,0.001109,0.001109
47,975.287,1.1943,0.73496,0.8729,0.84519,0.84956,0.90199,0.56979,1.23925,0.68009,0.879,0.0010892,0.0010892,0.0010892
48,994.769,1.22238,0.76681,0.8996,0.90642,0.84071,0.92711,0.58185,1.24078,0.68357,0.88328,0.0010694,0.0010694,0.0010694
49,1016.07,1.15309,0.71207,0.86797,0.8856,0.89381,0.93933,0.58056,1.24398,0.71018,0.87553,0.0010496,0.0010496,0.0010496
50,1037.39,1.17971,0.69552,0.87819,0.91298,0.82301,0.94889,0.60684,1.22014,0.69999,0.87498,0.0010298,0.0010298,0.0010298
51,1058.64,1.17376,0.69977,0.87422,0.83042,0.86726,0.90331,0.56409,1.25253,0.71266,0.87408,0.00101,0.00101,0.00101
52,1077.46,1.1723,0.70978,0.86531,0.8763,0.77876,0.89674,0.56911,1.28896,0.67041,0.88273,0.0009902,0.0009902,0.0009902
53,1100.2,1.20655,0.72306,0.87017,0.85886,0.86163,0.91698,0.60695,1.14674,0.66699,0.8693,0.0009704,0.0009704,0.0009704
54,1118.53,1.1834,0.73303,0.85299,0.8859,0.87611,0.9491,0.61909,1.19287,0.6864,0.86872,0.0009506,0.0009506,0.0009506
55,1141.32,1.14566,0.70768,0.88384,0.82993,0.82055,0.90585,0.56315,1.26665,0.66768,0.87478,0.0009308,0.0009308,0.0009308
56,1160.27,1.15738,0.70457,0.87301,0.88627,0.75864,0.88068,0.58582,1.20809,0.67907,0.87251,0.000911,0.000911,0.000911
57,1182.28,1.13687,0.70028,0.8658,0.89415,0.86726,0.92022,0.62762,1.04758,0.63723,0.86603,0.0008912,0.0008912,0.0008912
58,1202.13,1.07644,0.67742,0.86493,0.83914,0.83095,0.89178,0.58774,1.13749,0.66465,0.86549,0.0008714,0.0008714,0.0008714
59,1222.7,1.12714,0.69574,0.84363,0.87755,0.84071,0.9274,0.61866,1.14128,0.64925,0.86446,0.0008516,0.0008516,0.0008516
60,1242.95,1.19621,0.66874,0.86687,0.89415,0.82301,0.91568,0.62523,1.14849,0.62453,0.86447,0.0008318,0.0008318,0.0008318
61,1265.28,1.1461,0.701,0.83082,0.84855,0.85841,0.91225,0.614,1.16231,0.63439,0.86911,0.000812,0.000812,0.000812
62,1285.02,1.11119,0.6739,0.84404,0.90058,0.88496,0.93405,0.62082,1.12975,0.63581,0.86941,0.0007922,0.0007922,0.0007922
63,1305.62,1.09297,0.67504,0.85168,0.9102,0.84071,0.93633,0.64262,1.09054,0.61943,0.86509,0.0007724,0.0007724,0.0007724
64,1326.35,1.09618,0.6708,0.87031,0.91453,0.85227,0.93932,0.6263,1.1167,0.64862,0.87267,0.0007526,0.0007526,0.0007526
65,1345.88,1.10217,0.63795,0.86444,0.88487,0.87611,0.93945,0.64892,1.06268,0.63038,0.85633,0.0007328,0.0007328,0.0007328
66,1367.35,1.04481,0.66913,0.84344,0.88393,0.87614,0.93087,0.6356,1.1322,0.60202,0.86094,0.000713,0.000713,0.000713
